1018563.28647263,-4723716.92909917,4148933.29361672
1018513.92373037,-4723791.98106806,4148860.45197636
1018489.50717024,-4723826.45731825,4148827.41454264
1018481.03258255,-4723838.98136264,4148815.31665391
1018424.53684548,-4723923.43326259,4148733.57756961
1018420.25715691,-4723929.91661776,4148727.28829298
1018387.048578,-4723981.04435264,4148677.55829904
1018384.51339134,-4723984.94081668,4148673.76935666
1018299.51634448,-4724115.10244788,4148547.26986442
1018285.55224695,-4724136.35347383,4148526.63702242
1018285.55224695,-4724136.35347383,4148526.63702242
1018258.37144016,-4724177.8965691,4148486.27306776
1018216.24807671,-4724241.54276091,4148424.54873126
1018176.03532681,-4724304.54274309,4148363.0872796
1018176.03532681,-4724304.54274309,4148363.0872796
1018152.22502189,-4724340.39528618,4148328.33497355
1018078.33342081,-4724450.15901983,4148222.1777871
1018052.2768899,-4724491.54515937,4148181.70989053
1018049.82040925,-4724495.45613722,4148177.88420931
1018037.95645381,-4724514.17150469,4148159.60343212
1017992.36900147,-4724583.38552721,4148092.41215369
1017965.98003293,-4724624.09995864,4148052.78212388
1017942.08410286,-4724660.27972762,4148017.67392846
1017929.35355784,-4724678.78457974,4147999.84081732
1017923.50093472,-4724687.06007476,4147991.90452975
1017915.85067355,-4724697.39259755,4147982.07904955
1017908.77936233,-4724706.6866501,4147973.28732455
1017904.50486783,-4724712.14466094,4147968.15397709
1017899.84366346,-4724717.81613346,4147962.87335932
1017896.51654961,-4724721.67408849,4147959.31938645
1017870.16673719,-4724751.09209174,4147932.45781182
1017870.16673719,-4724751.09209174,4147932.45781182
1017849.87741998,-4724770.27076695,4147915.70374264
1017842.44549174,-4724777.06452576,4147909.82845745
1017830.21474865,-4724787.5843073,4147900.90699415
1017823.97262365,-4724792.74196838,4147896.59279529
1017810.49466729,-4724803.38172063,4147887.83946088
1017800.60604712,-4724810.74392722,4147881.91961819
1017786.36267768,-4724820.97160863,4147873.81893338
1017774.00735957,-4724829.56033944,4147867.1124133
1017768.46888497,-4724833.24371094,4147864.29466528
1017755.2310262,-4724841.6745284,4147857.98182563
1017749.11457638,-4724845.43259647,4147855.22038518
1017736.38464851,-4724852.85613352,4147849.92337293
1017725.868302,-4724858.79390899,4147845.76792715
1017706.50593716,-4724869.08813504,4147838.83908756
1017686.3785213,-4724879.18970613,4147832.3145609
1017670.54280118,-4724886.7558809,4147827.61278086
1017662.51195454,-4724890.45272872,4147825.38697666
1017655.92516039,-4724893.32196221,4147823.74567655
1017641.79148865,-4724899.25745331,4147820.47407772
1017632.1590574,-4724903.18084983,4147818.3821677
1017623.14873232,-4724906.66337133,4147816.63747773
1017606.9168275,-4724912.66929688,4147813.7973723
1017597.10492924,-4724916.09064227,4147812.31717566
